,hawkish,neutral,dovish
주식시장/NNG,547,388,503
사상/NNG,219,172,315
최고/NNG,552,392,498
계속/MAG,188,119,237
갱신/NNG,25,13,46
나갔/VV,12,3,8
fed/NNG,3974,2645,4512
위시/NNG,12,3,10
긴축/NNG,642,418,471
통화정책/NNG,1882,1387,1984
불구/NNG,980,781,1131
금리/NNG,28253,18787,31528
하향/NNG,1487,1121,1760
안정/NNG,2827,1806,2928
유지/NNG,2418,1914,2861
채권/NNG,7880,5037,8556
특히/MAG,748,552,827
하이일드/NNG,263,347,217
이머징채권/NNG,8,9,33
긍정적/VAX,1030,700,1063
영향/NNG,2535,1938,2772
끼치/VV,27,17,23
일조/NNG,58,29,72
위험자산/NNG,364,394,366
수익/NNG,432,372,544
추구/NNG,60,35,55
현상/NNG,497,353,579
가속/NNG,117,49,95
가운데/NNG,1873,1315,2091
소외/NNG,39,15,40
뒤/NNG,124,82,145
조망/NNG,2,1,0
나타나/VV,2042,1405,2282
흐름/NNG,1773,1349,1776
대해/VV,733,393,620
다소/MAG,826,454,933
불편/NNG,19,78,20
느낌/NNG,20,14,10
주/VV,259,150,268
단위/NNG,970,618,1097
신용스프레드/NNG,1874,1389,2065
약보합/NNG,140,96,169
기중/NNG,1,0,0
변동성/NNG,959,663,1068
확대/NNG,4258,3160,4729
단기/NNG,1437,974,1566
은행채/NNG,3042,1869,3095
스프레드/NNG,7874,4899,7695
등락/NNG,407,308,733
우량/NNG,253,226,279
위상/NNG,21,6,25
걸맞/VA,7,0,8
성격/NNG,112,85,87
유동성비율/NNG,17,6,48
규제/NNG,713,557,684
사유/NNG,53,31,55
흔들/VV,63,21,41
가격/NNG,3538,2152,3061
만일/NNG,135,47,110
자본/NNG,1122,921,985
이슈/NNG,818,620,841
보다/MAG,518,327,573
본질/NNG,43,16,46
제기/NNG,228,141,235
어쩔/VV,7,8,11
수급/NNG,1533,854,1482
측면/NNG,724,460,716
부담/NNG,2401,1655,2395
공사채/NNG,774,505,1051
여신/NNG,162,127,159
금융채/NNG,1104,676,1050
완만/NNG,486,488,599
발행/NNG,4692,4022,4740
증가/NNG,3461,3118,4056
회사채/NNG,9734,6881,10127
감소/NNG,1798,1594,2201
상쇄/NNG,90,46,94
늘/MAG,23,18,35
그래왔/VV,2,2,0
가격결정/NNG,5,2,3
변수/NNG,499,284,468
아니/VCN,1372,807,1573
점/NNG,1990,1452,2457
알/VV,167,114,196
새해/NNG,16,16,11
복/NNG,5,1,4
많이/MAG,181,117,191
받/VV,708,530,946
섹터/NNG,223,194,296
만기별/NNG,404,224,355
축소/NNG,3554,2238,3365
상위/NNG,562,494,817
주/NNG,3512,2649,3861
여전채/NNG,1780,1412,2143
기준/NNG,3203,2348,3722
만기/NNG,3502,2280,3464
역축/NNG,30,31,18
지표물/NNG,59,30,87
대내/NNG,26,17,49
국고채/NNG,15779,9808,15896
발행계획/NNG,176,123,155
발표/NNG,2212,1604,2744
장기물/NNG,1178,796,1104
공급/NNG,587,528,775
늘/VV,895,664,993
예정/NNG,852,710,989
장기/NNG,1283,1085,1247
상승/NNG,7979,5842,8529
대외/NNG,787,502,712
세제개편안/NNG,22,7,20
통과/NNG,196,146,235
채권시장/NNG,4175,2511,3694
약세/NNG,2740,1524,2309
섹터별/NNG,206,263,274
상대적/VAX,1104,788,1225
강/NNG,196,151,207
반면/NNG,830,543,835
특수채/NNG,2281,1526,2069
단기물/NNG,790,435,884
강하/VA,417,257,445
따르/VV,3248,2417,3433
피로/NNG,18,12,24
변동/NNG,2131,1486,2414
표/NNG,1082,726,1076
구분/NNG,816,695,914
국채/NNG,4444,3014,4707
물/NNG,336,244,387
대비/NNG,4662,3506,4998
특수/NNG,424,338,440
은행/NNG,4223,3051,4722
여전/NNG,626,255,388
주전/NNG,155,64,104
우/NNG,4216,2776,4221
동향/NNG,1331,1101,2016
커브/NNG,352,227,473
전/NNG,1272,890,1537
발행시장/NNG,437,344,494
수요예측/NNG,963,738,1034
부재/NNG,124,81,95
진행/NNG,1494,890,1343
기업/NNG,1815,1715,2164
자금/NNG,2128,1459,2598
수요/NNG,1775,1339,1945
확보/NNG,341,237,421
인하/VV,2109,1202,1886
순발행/NNG,831,656,699
보합/NNG,298,201,256
순상환/NNG,130,182,145
현황/NNG,814,607,753
aa등급/NNG,135,113,138
a등급/NNG,367,208,267
카드채/NNG,289,137,275
캐피탈채/NNG,173,78,181
잔액/NNG,822,563,786
조원/NNG,2229,1460,2153
유통시장/NNG,259,166,212
거래대금/NNG,260,75,276
소폭/MAG,1044,693,1095
기록/NNG,1721,1068,1753
발행물/NNG,111,113,93
거래/NNG,1547,1241,1790
모두/MAG,634,458,698
포함/NNG,592,370,641
종목별/NNG,89,43,93
최상위/NNG,22,9,19
오르/VV,906,577,740
강세/NNG,4199,2410,3915
두드러지/VA,95,50,90
이어서/MAG,13,5,11
에스/NNG,305,234,344
케이/XSV,157,101,148
내외/NNG,315,219,258
종목/NNG,1369,924,1420
대다수/NNG,19,35,32
나타났으며/VV,33,23,31
개발공사/NNG,54,56,108
종목명/NNG,259,229,286
신용등급/NNG,1502,1292,1613
거래금액/NNG,32,30,19
거래일/NNG,135,67,157
만기일/NNG,220,185,213
잔존/NNG,253,178,237
민평/NNG,1547,1128,1917
유동화/NNG,762,679,738
증권/NNG,3417,2499,3515
제외/NNG,734,555,872
선순위/NNG,57,33,36
무보증/NNG,1085,881,1236
공모채/NNG,19,5,8
이상거래/NNG,42,21,31
연합자산관리/NNG,133,63,137
지브/NNG,6,10,12
비중/NNG,1506,1151,1519
추이/NNG,3166,2168,3059
금/NNG,536,306,706
순매수/NNG,4141,2412,3793
기타법인/NNG,320,223,335
개인/NNG,626,318,663
국가/NNG,1714,1275,1755
지자체/NNG,86,104,120
외국인/NNG,3896,2227,3744
종금/NNG,495,292,497
초과/NNG,498,419,571
보험/NNG,1531,592,1187
투신/NNG,883,498,954
기금/NNG,756,381,850
변경/NNG,692,566,737
내역/NNG,207,140,183
등급/NNG,2089,1725,2349
기업명/NNG,84,84,84
적용/NNG,370,247,571
변/NNG,63,40,39
경전/NNG,48,34,49
평가/NNG,1953,1202,1695
건설/NNG,1137,652,953
나신/NNG,8,0,1
평/NNG,133,67,89
신용평가/NNG,75,75,104
aa+등급/NNG,9,7,17
상향/NNG,921,726,974
aa-등급/NNG,61,48,72
a+등급/NNG,31,25,41
엘에스엠/NNG,14,21,16
트론/NNG,14,22,16
a-등급/NNG,19,7,28
bbb+등급/NNG,25,3,10
대보/NNG,3,2,3
신원/NNG,4,2,4
나래/NNG,23,7,16
동두천/NNG,24,15,24
드림/VV,30,15,60
파워/NNG,94,59,79
포천/NNG,36,24,35
대림/NNG,38,27,32
페이퍼/NNG,27,18,22
bbb-등급/NNG,10,1,9
있/VV,6403,4293,7345
근거/NNG,265,216,276
같/VA,1099,591,1135
비우호적/VAX,86,41,64
영업/NNG,256,195,299
환경/NNG,490,311,460
고정비/NNG,10,13,16
수익성/NNG,324,314,488
약화/NNG,1126,846,1217
공장/NNG,99,68,85
낮/VA,1673,1453,2014
가동률/NNG,148,100,145
신규/NNG,861,576,1002
가동/NNG,30,25,24
비용/NNG,480,281,470
비/NNG,672,454,668
수주/NNG,297,192,324
지연/NNG,421,299,489
저조/NNG,68,71,96
계속/NNG,221,151,260
재무/NNG,366,319,523
거래처/NNG,9,2,1
신차/NNG,8,9,17
모델/NNG,47,36,33
대응/NNG,621,513,760
경상/NNG,427,219,408
노후/NNG,21,5,4
설비/NNG,395,327,421
교체/NNG,118,89,149
증설/NNG,8,10,21
완화/NNG,1953,1315,2298
쉽/VA,377,224,366
판매/NNG,1014,693,1132
부진/NNG,1394,1040,1840
가시/NNG,150,110,159
검토/NNG,254,168,290
감시/NNG,16,7,16
대상/NNG,391,390,523
계열회사/NNG,165,132,186
흡수합병/NNG,16,4,10
공시/NNG,327,147,290
신용/NNG,863,530,1066
규모/NNG,2037,1853,2463
갭/NNG,820,684,924
감안/NNG,999,768,1152
때/NNG,1770,1129,1857
부채/NNG,1627,1424,2039
상환/NNG,310,231,371
가능성/NNG,5583,3809,6265
제고/NNG,144,124,193
장단/NNG,11,18,4
거리/NNG,31,18,37
걸치/VV,96,76,117
경쟁/NNG,232,172,304
지위/NNG,44,25,101
차입/NNG,428,264,444
지속/NNG,4400,3436,4601
인상/NNG,4729,2935,4809
금융/NNG,1435,1074,1783
융통성/NNG,9,5,13
위축/NNG,583,428,617
인수/NNG,198,164,261
무산/NNG,30,15,44
안정성/NNG,315,226,327
개선/NNG,2917,2183,3334
제한적/VAX,613,386,578
금리갭/NNG,383,258,377
장단기스프레드/NNG,496,287,461
기대/NNG;글로벌/NNG;금리/NNG;상승/NNG,1,1,1
하락/NNG;예상/NNG;금리/NNG;인상/NNG,1,0,1
발행/NNG;늘/VV;금리/NNG;상승/NNG,2,0,0
금리/NNG;인상/NNG;확신/NNG;없/VA,1,0,0
장기물/NNG;발행비중/NNG;확대/NNG,4,0,1
국고채/NNG;금리/NNG;상승/NNG,38,21,55
장기물/NNG;수요/NNG;증가/NNG,2,1,2
부정적/VAX;영향/NNG;상쇄/NNG,2,2,4
금리/NNG;하락/NNG;상승/NNG,6,1,3
국제/NNG;유가/NNG;상승/NNG,18,11,8
물가/NNG;상승/NNG;압력/NNG,19,10,14
금리/NNG;상승/NNG;아니/VCN,2,2,0
금리/NNG;상승/NNG;압력/NNG,24,21,26
아직/MAG;경기/NNG;회복/NNG,4,0,4
고용/NNG;개선/NNG;미흡/NNG,1,0,1
내수/NNG;경기/NNG;부양/NNG,4,1,2
소비/NNG;지표/NNG;개선/NNG,3,7,4
금리/NNG;인상/NNG;어렵/VA,18,9,8
물가/NNG;상승률/NNG;넘/VV,2,1,3
국채/NNG;발행/NNG;늘/VV,3,3,3
농축수산물/NNG;하락/NNG,1,1,0
수요우위/NNG;해소/NNG,1,0,0
위험자산/NNG;선호/NNG,29,23,28
금리/NNG;부정적/VAX,5,3,2
부양/NNG;효과/NNG,20,24,19
금리/NNG;반대/NNG,1,1,1
경제/NNG;완화/NNG,3,0,0
회복/NNG;조짐/NNG,9,9,8
경기/NNG;과열/NNG,9,0,3
하락/NNG;효과/NNG,19,9,11
공급/NNG;확대/NNG,9,7,6
채권/NNG;증가/NNG,2,1,1
금리/NNG;오르/VV,42,33,37
어렵/VA;위험/NNG,3,0,0
금리/NNG;어렵/VA,2,0,0
폐쇄/NNG;막/VV,2,0,0
프레젠테이션/NNG,2,2,1
일드커브/NNG,664,489,718
변화/NNG,2220,1948,2581
하락/NNG,6256,4246,6625
반전/NNG,629,319,635
젂/VV,95,131,556
시작/NNG,887,529,952
매수/NNG,2729,1418,2423
들/VV,838,527,757
점차/MAG,537,319,637
상/NNG,296,264,377
승반/NNG,1,0,0
세제개편/NNG,8,3,23
앆/NNG,14,9,109
했으며/XSV,401,316,403
동조/NNG,54,56,53
장/NNG,267,154,327
기관/NNG,1326,831,1817
견조/NNG,295,177,289
속/NNG,421,263,434
범위/NNG,415,265,452
rp/NNG,216,144,309
cd/NNG,1114,600,1533
좌/NNG,3827,2635,3927
방향/NNG,985,702,1227
펀더멘털/NNG,792,487,729
소비자/NNG,1801,1301,2149
물가/NNG,4613,3126,4819
상승률/NNG,966,695,1104
다시/MAG,1356,823,1383
효과/NNG,873,668,1036
국제/NNG,588,437,611
유가/NNG,1337,764,1055
소매/NNG,543,459,630
유류/NNG,10,0,1
월비/NNG,256,71,306
수준/NNG,3848,2567,3805
예상/NNG,5877,3813,6294
압력/NNG,1550,1149,1646
여전히/MAG,1138,744,1240
의미/NNG,470,264,480
수출/NNG,1475,1292,1748
정부정책/NNG,64,38,49
의사록/NNG,352,281,286
반대/NNG,231,173,281
의견/NNG,529,353,590
내/VV,69,52,82
함께/MAG,760,514,750
확/MAG,45,18,34
가지/VV,334,215,362
확인/NNG,1316,1000,1398
당겨서/VV,2,1,2
주장/NNG,305,188,343
있/VA,1733,1102,1942
사실/NNG,430,256,440
적어도/MAG,139,83,165
중/NNG,3162,2154,3151
추가/NNG,2915,2076,3371
어렵/VA,1333,992,1499
충분/NNG,143,99,182
경기/NNG,6119,4421,6265
전제/NNG,132,105,107
위하/VV,1698,1329,2090
발행비중/NNG,85,52,43
대해서/VV,386,251,447
애매/NNG,23,2,30
입장/NNG,701,422,788
유의미한/VAX,112,51,78
미치/VV,673,496,802
보유/NNG,1258,947,1242
순증/NNG,119,76,177
매년/MAG,93,49,66
증가율/NNG,977,709,1056
더/MAG,1533,917,1591
수요우위/NNG,34,32,45
해소/NNG,527,272,388
요인/NNG,2172,1362,1872
미/NNG,3680,1892,3544
재료/NNG,631,353,548
서베이/NNG,91,52,88
세제/NNG,50,45,91
개혁/NNG,187,187,248
성장률/NNG,1780,1207,1977
그친다고/VV,1,1,0
부양/NNG,370,353,473
세수/NNG,75,64,80
줄/VV,891,654,912
경로/NNG,225,241,309
인프라/NNG,118,70,136
투자계획/NNG,8,3,3
주목/NNG,630,582,768
필요/NNG,1592,1349,1788
부족/NNG,276,292,342
관건/NNG,126,65,110
이끄/VV,168,121,212
집행/NNG,142,102,134
재개/NNG,301,199,234
계획/NNG,252,194,280
좀/MAG,302,186,325
중단기물/NNG,28,21,27
중심/NNG,1416,1131,1599
확신/NNG,85,87,99
핵심/NNG,506,240,457
같이/MAG,202,158,275
요약/NNG,332,313,429
속도/NNG,672,502,718
빠르/VA,739,493,873
공감/NNG,21,11,16
경제/NNG,5541,4236,6790
기조/NNG,1495,1185,1631
당장/MAG,252,167,284
견실/NNG,13,31,37
상태/NNG,359,328,563
불확실/NNG,108,66,173
내부/NNG,79,89,88
자생적/VAX,27,19,30
광범위/NNG,19,7,19
회복/NNG,2408,2005,2718
조짐/NNG,168,114,172
아직/MAG,797,484,773
충분히/MAG,186,99,193
감지/NNG,30,28,43
지나치/VA,57,44,69
기조적/VAX,48,28,66
목표/NNG,2915,959,1532
수렴/NNG,54,38,46
시키/XSV,486,323,507
위험/NNG,2138,1418,2390
신축/NNG,7,1,2
정책/NNG,2465,1678,2581
여지/NNG,65,53,82
작용/NNG,1159,740,967
과열/NNG,77,33,68
희박/NNG,29,30,42
최대/NNG,384,322,444
확/NNG,11,2,14
바람직/NNG,94,57,96
앞당기/VV,50,32,27
방/NNG,57,43,79
동의/NNG,484,336,575
체감/NNG,86,53,62
정목/NNG,1,0,1
상회/NNG,602,348,586
고려/NNG,1172,782,1155
시급히/MAG,3,2,0
구체/NNG,43,36,64
생각/NNG,493,385,550
망/NNG,41,74,298
항목/NNG,125,114,197
가중치/NNG,38,23,66
농축수산물/NNG,24,36,41
가/VV,435,307,453
휘발유/NNG,26,14,22
경유/NNG,10,2,0
등유/NNG,2,0,0
미달/NNG,102,42,94
추정/NNG,587,453,587
요금/NNG,35,41,30
그치/VV,278,175,310
넘/VV,503,326,557
나온다면/VV,16,4,14
연/VV,12,15,23
연속/NNG,846,499,1047
근원/NNG,258,254,326
신중/NNG,219,125,178
얘기/NNG,118,35,148
단임/NNG,4,0,10
중기/NNG,178,139,256
계/NNG,115,86,107
가이드라인/NNG,18,13,20
실적/NNG,594,538,909
증감/NNG,258,173,293
증/NNG,13,12,27
환/NNG,67,32,66
제도개선/NNG,20,1,19
방안/NNG,247,245,327
발행한도/NNG,20,21,5
도래/NNG,405,307,383
연기금/NNG,357,195,312
실수요/NNG,16,6,17
재정/NNG,1178,956,1251
여건/NNG,979,712,1054
종합/NNG,788,349,844
조기/NNG,284,142,291
교/NNG,9,1,13
통하/VV,1256,912,1387
특정/NNG,71,44,96
집중/NNG,383,321,470
분산/NNG,21,28,39
우선/MAG,286,213,272
물가채/NNG,244,106,297
추/NNG,12,10,14
매출/NNG,456,324,589
실시/NNG,300,249,375
재결합/NNG,1,0,0
반/NNG,408,173,285
보험기금/NNG,171,141,169
총/NNG,85,59,50
비교/NNG,413,306,470
세부/NNG,112,128,167
테너/NNG,7,8,7
구/NNG,2,2,12
다르/VA,516,264,360
별다른/VA,64,42,65
사이클/NNG,405,220,335
어렵/VV,159,123,154
일시/NNG,43,51,38
매입/NNG,1079,853,1300
점검/NNG,601,490,692
포인트/NNG,151,154,132
연령/NNG,27,31,39
취업자/NNG,89,54,90
고용/NNG,1415,1096,1569
미흡/NNG,37,42,82
대출/NNG,1274,1044,1541
소득/NNG,398,251,398
주도/NNG,317,218,270
성장/NNG,1563,1408,1993
내수/NNG,569,380,554
시킬/XSV,366,263,370
낙관/NNG,229,172,275
경제정책/NNG,58,113,141
혁신성장/NNG,1,0,2
별로/MAG,72,51,80
천명/NNG,62,49,60
횡보/NNG,213,105,233
서명/NNG,11,0,14
현지/NNG,77,47,100
연방정부/NNG,85,53,50
폐쇄/NNG,110,106,131
막/VV,147,67,130
예산/NNG,129,142,128
감세/NNG,62,52,60
반응/NNG,281,203,289
보너스/NNG,7,4,4
지급/NNG,172,113,191
최저임금/NNG,14,148,37
행보/NNG,73,22,63
직원/NNG,14,8,15
기반시설/NNG,1,1,1
시급/NNG,20,19,28
기부/NNG,2,0,1
소비/NNG,1285,934,1364
지표/NNG,4298,2687,4850
이어지/VV,1388,969,1600
선호/NNG,741,646,926
달/NNG,228,140,228
담당/NNG,211,76,138
보좌관/NNG,7,1,10
결론/NNG,210,143,200
이벤트/NNG,421,355,471
캘린더/NNG,27,16,45
정리/NNG,155,128,177
무역/NNG,401,241,459
제조업/NNG,1335,1000,1441
pmi/NNG,712,509,935
ism/NNG,367,260,405
합성/NNG,11,21,22
비농업/NNG,325,262,360
입찰/NNG,673,377,783
실업률/NNG,739,573,834
구인/NNG,7,6,20
건수/NNG,394,201,435
수입/NNG,565,410,601
생산자/NNG,334,174,326
산업/NNG,1144,952,1786
생산/NNG,1255,880,1363
뉴욕/NNG,159,100,203
지수/NNG,3497,1949,3790
베이지북/NNG,37,14,28
주택시장/NNG,266,203,295
잠정/NNG,118,76,167
ecb/NNG,1244,997,1730
주택/NNG,954,514,917
gdp/NNG,2343,1673,2369
pce/NNG,216,150,218
서프라이즈/NNG,106,63,58
달성/NNG,271,149,244
요원/NNG,8,10,12
유로존/NNG,1513,1347,1990
없이/MAG,1139,693,1307
감사/NNG,29,20,27
합니다/XSV,440,241,341
국고채/NNG;금리/NNG;급등/NNG,6,2,11
원금/NNG;상환/NNG;부담/NNG,6,0,1
금리/NNG;매력/NNG;높/VA,13,12,4
상환/NNG;부담/NNG;낮/VV,1,3,0
수요/NNG;많/VA;않/VX,5,1,0
수익성/NNG;부정적/VAX,2,0,0
투자심리/NNG;위축/NNG,36,19,22
금리/NNG;하락/NNG,150,87,146
손실/NNG;위험/NNG,7,1,2
자본/NNG;확충/NNG,36,24,26
예상/NNG;많/VA,4,2,6
대출/NNG;늘/VV,6,1,4
출시/NNG,20,16,20
주택담보대출/NNG,152,134,180
가계/NNG,871,879,1183
대책/NNG,249,138,283
제2금융권/NNG,15,9,25
차주/NNG,34,21,28
자격/NNG,15,6,33
조건/NNG,300,271,345
밝히/VV,319,202,337
대규모/NNG,550,325,534
안심/NNG,29,22,58
전환/NNG,1452,960,1428
언론/NNG,112,57,148
보도/NNG,95,57,131
드러난/VV,10,7,12
차지/NNG,285,243,324
비은행/NNG,35,42,40
예금/NNG,440,252,604
취급/NNG,43,16,47
상호금융/NNG,10,1,3
새마을금고/NNG,6,0,1
가장/MAG,722,535,846
여전사/NNG,49,57,77
저축은행/NNG,96,23,57
순/NNG,90,39,74
원금/NNG,113,59,70
여력/NNG,343,318,392
수/NNG,291,210,386
상당/NNG,193,90,193
잠재/NNG,248,230,301
수요층/NNG,8,2,0
최소/NNG,137,135,109
이르/VV,172,91,169
실행/NNG,130,128,130
연소득/NNG,16,4,2
저소득층/NNG,19,8,30
원리금/NNG,86,85,103
지출/NNG,612,450,616
고신/NNG,3,0,0
못하/VX,811,525,862
밀리/VV,35,15,28
상환능력/NNG,37,62,137
높/VA,4275,3133,4974
관심/NNG,642,386,744
제시/NNG,395,300,348
추산/NNG,35,23,21
실제/NNG,734,400,688
제한/NNG,1056,868,1056
의무/NNG,68,64,55
시켜야/XSV,7,10,9
자본이익/NNG,3,2,10
손실/NNG,361,215,343
내놓/VV,88,64,97
현실/NNG,204,115,137
문제/NNG,1091,690,1287
법정최고금리/NNG,3,0,0
인하/NNG,2935,2436,4517
확충/NNG,199,224,222
구체적/VAX,149,124,160
낮/VV,247,211,333
이러/NNG,772,447,747
많/VA,547,413,651
미미/NNG,118,74,124
상품/NNG,405,322,432
재편/NNG,18,14,27
알려졌으며/VV,6,3,7
구조/NNG,228,175,300
고정/NNG,214,143,219
형태/NNG,136,80,168
바꾸/VV,32,22,49
제1금융권/NNG,9,3,7
주택담보/NNG,13,4,18
대출자/NNG,27,17,12
일시/MAG,12,10,15
분할상환/NNG,7,5,8
중반/NNG,382,297,322
기초자산/NNG,23,27,104
했으나/XSV,363,249,373
매력/NNG,895,790,1132
몰리/VV,65,83,110
함/XSV,1333,584,874
교란/NNG,55,16,31
진정/NNG,258,148,222
시중/NNG,114,100,131
급등/NNG,827,473,933
투자심리/NNG,464,321,450
시킨/XSV,38,24,47
농협/NNG,53,68,68
수협/NNG,17,32,12
조/NNG,294,238,370
카드/NNG,201,150,122
부사/NNG,4,3,2
여/NNG,12,23,59
경험/NNG,182,110,158
대란/NNG,13,2,1
발생/NNG,786,640,968
봐/VV,1,0,7
얼마/NNG,63,23,60
허용/NNG,55,37,83
남/VV,469,313,490
물량/NNG,501,275,483
여부/NNG,510,404,553
달리/VV,30,25,45
인기/NNG,50,35,44
끌/VV,52,29,45
모기지/NNG,385,145,334
보금자리론/NNG,2,4,4
중후반/NNG,27,35,30
공존/NNG,14,13,29
상당히/MAG,222,114,212
조항/NNG,35,27,55
거치기간/NNG,17,5,2
끝/NNG,75,48,93
나가/VV,41,14,32
금융기관/NNG,379,227,411
주택가격/NNG,349,256,395
미정/NNG,53,25,32
연체율/NNG,118,59,163
경과/NNG,64,17,34
연체/NNG,26,20,29
이자/NNG,313,210,556
거치/NNG,33,18,38
잠재수요/NNG,7,1,2
갚/VV,40,15,23
상환액/NNG,16,17,24
감당/NNG,19,11,32
상당수/NNG,25,10,31
출금액/NNG,5,5,1
분포/NNG,53,43,62
금액/NNG,538,398,536
정확/MAG,33,19,26
가능/NNG,887,650,930
추측/NNG,17,8,22
내내/MAG,46,36,45
강하/VV,87,53,99
반영/NNG,1412,1119,1650
더불/VV,178,180,205
과정/NNG,499,454,680
중신용자/NNG,1,0,0
두드러지/VV,73,50,85
취약/NNG,184,107,202
낮/MAG,8,4,8
달하/VV,148,109,146
미만/NNG,244,170,220
차/NNG,247,123,123
주수/NNG,12,0,10
가입/NNG,57,25,19
자연/NNG,70,47,67
금리/NNG;인상/NNG;반대/NNG,6,3,4
희박/NNG;금리/NNG;인상/NNG,1,1,0
예상/NNG;금리/NNG;인상/NNG,10,7,10
어렵/VA;물가/NNG;안정/NNG,3,0,1
성장/NNG;물가/NNG;낮/VA,1,0,0
요금/NNG;인하/NNG,6,1,1
동결/NNG,1376,998,1326
소수의견/NNG,97,93,130
안/NNG,186,166,225
불균형/NNG,86,40,66
누적/NNG,917,668,1157
거의/MAG,170,124,187
이미/MAG,675,389,885
플러스/NNG,190,170,160
벗어나/VV,198,152,213
도/NNG,38,28,40
가깝/VA,166,99,192
조정/NNG,1057,746,1231
염두/NNG,69,77,89
고수/NNG,38,16,40
수정/NNG,423,371,582
펼치/VV,26,25,39
사전/NNG,419,318,518
크레딧/NNG;시장/NNG;스프레드/NNG;축소/NNG,2,1,3
전망/NNG;상향/NNG;전망/NNG;하향/NNG,1,0,2
하향/NNG;등급/NNG;전망/NNG;하향/NNG,6,0,3
전망/NNG;하향/NNG;전망/NNG;하향/NNG,15,7,11
신용등급/NNG;전망/NNG;긍정적/VAX,1,0,0
신용등급/NNG;전망/NNG;부정적/VAX,3,5,0
fed/NNG;불확실성/NNG;해소/NNG,4,3,1
크레딧/NNG;시장/NNG;강세/NNG,12,13,15
유동성/NNG;위험/NNG;완화/NNG,1,1,4
재무/NNG;융통성/NNG;저하/NNG,3,1,2
투자/NNG;매력/NNG;개선/NNG,2,0,1
투자/NNG;수요/NNG;개선/NNG,5,3,7
하향/NNG;전망/NNG;상향/NNG,1,2,2
