,hawkish,neutral,dovish
풀이/NNG,4718,3063,5416
여신/NNG,2132,1039,2236
가계/NNG,16759,9970,19615
중심/NNG,13381,6903,14025
모두/MAG,10757,5740,11933
둔화/NNG,19761,8664,18243
비교/NNG,4795,2654,5460
절반/NNG,2965,1467,3070
머무르/VV,3864,2167,4077
기업/NNG,36435,18206,40097
현금흐름/NNG,389,177,396
양호/NNG,3898,2116,3947
상환/NNG,6310,3110,7228
중소기업/NNG,8542,4158,9946
심사/NNG,2247,1127,2359
기준/NNG,21307,11591,22907
어렵/VV,3002,1605,3868
겪/VV,3942,2033,4809
그치/VV,7203,3784,7572
전/NNG,13732,7512,15596
잔액/NNG,3688,1914,3686
예대율/NNG,294,179,379
비해/VV,11037,4482,10490
포인트/NNG,49209,25602,54788
기록/NNG,49210,25352,52050
끝/NNG,26021,16498,29540
주가/NNG,21117,10192,21799
코스피200/NNG,1266,519,1254
변동/NNG,8356,4127,8861
연동/NNG,2963,1271,2914
종과/NNG,36,21,42
기본/NNG,3029,1469,3291
보장/NNG,2610,1401,3213
추가/NNG,32777,17743,37151
수익/NNG,8624,4653,9343
가능/NNG,11305,5541,12043
주가지수연동/NNG,156,25,94
종/NNG,789,466,870
오/VV,14974,8404,16369
판매/NNG,14645,7143,14413
최고/NNG,21486,10521,21708
달성/NNG,3724,2073,4028
최저/NNG,12520,7152,15018
연/NNG,3541,1717,3196
최소가입금액/NNG,127,56,139
개인/NNG,10084,4786,10218
법인/NNG,1873,879,1997
가입/NNG,6989,3251,7280
고준/NNG,107,29,67
주가지수/NNG,1813,541,1741
원달러/NNG,3974,2680,4507
달/NNG,10597,5410,10875
가운데/NNG,22278,12267,24430
나뉘/VV,170,79,160
적용/NNG,9461,4627,9730
받/VV,36583,19814,40998
설계/NNG,951,516,1020
구성/NNG,3580,1678,3506
가입금액/NNG,536,203,506
fed/NNG;금리/NNG;인상/NNG;가능성/NNG;높/VA,37,22,26
ism/NNG;제조업/NNG;지수/NNG;상승/NNG,17,6,11
인플레이션/NNG;압력/NNG;높/VA,167,31,113
높/VA;지지/NNG;않/VX,69,58,63
gdp/NNG;호전/NNG,5,2,1
생산성/NNG;개선/NNG,8,12,18
일자리/NNG;증가/NNG,125,83,144
유가/NNG;상승/NNG,801,367,814
유가/NNG;급등/NNG,379,119,350
생산성/NNG;오르/VV,21,7,18
일자리/NNG;늘/VV,152,85,182
예상/NNG;작/VA,118,74,135
뉴욕/NNG,20541,12491,23614
특파원/NNG,11123,6082,12727
다우/NNG,815,324,846
경신/NNG,4096,2457,4713
유가/NNG,20891,10826,21499
달러/NNG,108140,62599,123916
선/NNG,18008,8467,19305
돌파/NNG,5740,2836,6012
약세/NNG,23131,13419,24547
심화/NNG,2993,1574,3648
펀더멘털/NNG,3367,1716,3316
조건/NNG,5483,2982,6281
그리/MAG,3034,1431,3167
아니/VCN,25019,12528,27588
상승/NNG,131933,69531,137923
해석/NNG,4988,2533,5266
경제/NNG,86659,46546,97710
미치/VV,15766,8686,16746
영향/NNG,37207,21325,39787
따/VV,142,78,148
엑손/NNG,310,108,309
모빌/NNG,329,109,332
검/VA,159,66,229
진주/NNG,204,149,252
안달/NNG,9,4,6
석유회사/NNG,66,42,86
이미/MAG,9453,4709,10357
제치/VV,246,95,207
시가총액/NNG,1797,950,1840
세계/NNG,17904,8370,19787
종가/NNG,5198,3167,5832
갭/NNG,6280,3460,6657
더/MAG,36075,19519,40618
벌어지/VV,1449,856,1739
때/NNG,26900,13875,29756
맞추/VV,3150,1559,3525
기류/NNG,341,194,345
타/VV,2868,1284,2825
덕/NNG,831,483,865
고통/NNG,705,348,1023
거의/MAG,4653,2505,5263
느끼/VV,1619,751,1619
못하/VX,17852,9460,19665
랠리/NNG,3208,1480,3522
열중/NNG,45,11,35
나이/NNG,315,150,297
크/MAG,58,44,76
밖/NNG,5475,2291,5405
폭탄/NNG,566,396,595
테러/NNG,909,1341,1043
발생/NNG,8492,4619,9433
긴장/NNG,1761,974,1785
고조/NNG,2391,1229,2681
즐길/VV,76,31,82
관심/NNG,10419,5514,11102
주/NNG,16887,9177,17867
시장/NNG,91664,49231,100225
접/VV,579,317,605
든다/VV,252,160,300
지표/NNG,35648,21928,37734
잇따르/VV,2836,1300,2885
발표/NNG,38523,22342,42552
반영/NNG,13947,7559,15252
pmi/NNG,4964,3298,6085
고용/NNG,16148,10417,17820
시선/NNG,814,534,896
약간/MAG,891,428,1009
떨어/VV,25816,14198,30667
전망/NNG,79684,44203,87262
날/NNG,4226,2642,5120
ism/NNG,2594,1226,2850
제조업/NNG,7358,4389,8580
지수/NNG,35037,19268,37343
기대/NNG,37179,20922,42622
생산성/NNG,1422,781,1258
gdp/NNG,15624,8906,15584
호전/NNG,2494,965,2347
개선/NNG,20171,11315,21912
보/VV,137168,76484,149359
성장/NNG,24862,12524,25752
속도/NNG,9083,4987,9995
가속/NNG,2012,1062,2249
오르/VV,83783,44192,86353
인플레이션/NNG,22596,8819,18964
압력/NNG,13339,7103,13091
지지/NNG,6284,3681,6936
일자리/NNG,2791,1496,3361
작/VA,7400,3829,8041
너무/MAG,4259,1985,4574
빨리/MAG,2156,1048,2672
걱정/NNG,2473,1116,2644
fed/NNG,93378,61219,111060
인상/NNG,88452,44092,79130
가능성/NNG,54357,30052,58342
대출/NNG;금리/NNG;상승/NNG,229,66,196
금리/NNG;상승/NNG;오르/VV,10,8,3
높/VA;금리/NNG;하락/NNG,11,8,8
반전/NNG,3753,1578,3809
동향/NNG,6699,3685,7066
신규/NNG,10309,5561,10778
취급액/NNG,618,305,602
은행채/NNG,1619,524,2507
유통수익률/NNG,241,71,187
금리연동/NNG,330,154,319
대출상품/NNG,1491,726,1335
일제히/MAG,2894,1527,3217
대기업/NNG,3701,1685,4005
반면/NNG,16370,8869,17420
저축성/NNG,844,465,929
불구/NNG,6155,1929,5650
특판/NNG,1024,333,818
취급/NNG,1908,981,2045
취급비중/NNG,20,9,22
은행/NNG;대출/NNG;금리/NNG;상승/NNG,16,8,19
은행/NNG;대출/NNG;금리/NNG;하락/NNG,5,2,10
가계/NNG;대출/NNG;금리/NNG;상승/NNG,32,9,25
기대/NNG;시장/NNG;금리/NNG;오르/VV,1,0,3
금융상품/NNG;금리/NNG;오르/VV,4,0,1
대출/NNG;금리/NNG;오르/VV,197,80,167
수신/NNG;금리/NNG;떨어/VV,5,3,6
대출/NNG;금리/NNG;내리/VV,78,56,110
자금/NNG;수요/NNG;살/VV,3,1,4
수신/NNG;금리/NNG;낮/VV,7,4,12
경기/NNG;회복/NNG,2545,1238,2448
회복/NNG,29883,15194,30240
행진/NNG,2065,965,2103
끝/VV,3641,2247,4117
관측/NNG,5338,2607,5415
확산/NNG,6768,3207,7433
뒤/NNG,10011,5271,10981
꾸준히/MAG,3798,2051,3868
통계/NNG,2382,1212,2305
작성/NNG,804,389,897
가장/MAG,21954,11656,23957
자금/NNG,29877,15157,34730
살/VV,5688,3064,6941
별로/MAG,1035,503,1089
운전자금/NNG,485,233,475
시설자금/NNG,369,165,400
비우량/NNG,433,193,582
고금리/NNG,2616,1254,2854
반사/NNG,147,51,153
효과/NNG,12316,6483,14957
cd/NNG,7557,3182,9156
비롯/NNG,5924,2788,6369
신용/NNG,7492,3686,8178
오름/NNG,6182,2739,5655
돌아/VV,7964,3754,8374
금융상품/NNG,1718,811,1941
순수/NNG,426,150,432
정기적금/NNG,381,140,368
비슷/NNG,3409,1802,3608
했으나/XSV,4055,2373,4652
환매/NNG,1963,839,1990
부증/NNG,86,76,164
rp/NNG,2589,1467,3113
금융채/NNG,537,251,523
신용협동조합/NNG,168,102,173
조정/NNG,15860,7607,15884
낮/VV,9162,5558,11547
경쟁력/NNG,3585,1900,4024
확보/NNG,5575,2928,6022
내리/VV,31585,18611,38862
고객/NNG,12411,5998,12106
복합기업/NNG,3,15,6
제너럴/NNG,698,258,774
융자/NNG,1625,1002,1775
사업/NNG,10361,5389,10616
시작/NNG,15618,8653,17474
계획/NNG,10485,5638,11421
신문/NNG,4722,2279,4985
보도/NNG,6048,3238,6405
파이낸스/NNG,117,78,101
전개/NNG,1437,752,1557
호노/NNG,2,0,5
소비자금융/NNG,224,54,116
서비스/NNG,6958,3226,6964
다루/VV,195,107,202
도쿄/NNG,2089,1299,2526
지점/NNG,3392,1950,3796
개설/NNG,1025,537,1136
엔/NNG,35547,21924,41740
목표/NNG,11849,6654,12299
변제/NNG,97,44,133
능력/NNG,2398,1108,2533
달리/MAG,3835,2006,4221
신용위험/NNG,921,428,1201
전하/VV,11529,6606,13034
수법/NNG,98,76,134
위험/NNG,22307,12395,24269
꺼려/VV,53,36,67
금융업계/NNG,381,166,387
파장/NNG,801,388,907
불러오/VV,465,204,504
지표/NNG;금리/NNG;국고채/NNG;수익률/NNG;높/VA,23,3,22
채권/NNG;수익률/NNG;소폭/MAG;상승/NNG,6,1,4
소폭/MAG,10500,6060,11334
출발/NNG,7921,5013,8672
국고채/NNG,27285,15680,29480
거래/NNG,43064,24354,46081
외국인/NNG;투자자금/NNG;빠지/VV,5,5,9
유동성/NNG;호전/NNG,4,1,2
금리/NNG;인상/NNG,9494,4573,8325
심리/NNG;개선/NNG,100,53,123
개선/NNG;추세/NNG,317,153,274
약화/NNG;경계/NNG,1,0,1
요사이/NNG,2,1,6
외국인/NNG,37791,21673,40179
주식/NNG,16300,8398,17783
파/VV,646,323,571
이전/NNG,5534,3035,6160
영/NNG,215,164,304
딴판/NNG,15,16,32
현물/NNG,2173,1162,2077
선물시장/NNG,1582,776,1680
매매패턴/NNG,221,120,214
뒤바뀐/VV,17,10,24
움직임/NNG,6839,3891,7386
시대/NNG,3214,1629,3912
그랬/VV,267,102,267
삼일천하/NNG,2,0,2
새롭/VA,6426,3312,6941
고민/NNG,2507,1277,2746
던져/VV,92,37,99
무심코/MAG,6,3,7
지나치/VA,2236,1054,2413
껄끄럽/VA,9,8,7
사자/NNG,1186,523,1124
일관/NNG,802,366,845
현물시장/NNG,686,356,669
가까이/MAG,3004,1662,3325
순매도/NNG,10189,6096,11119
대신/NNG,2828,1524,3159
팔자/NNG,1020,448,900
고집/NNG,164,73,224
계약/NNG,22443,14246,25280
순매수/NNG,12037,7282,13112
매도/NNG,16556,8942,16523
호들갑/NNG,22,5,24
떨/VV,189,64,215
한쪽/NNG,374,184,368
치우친/VV,47,23,47
매매/NNG,5181,2579,5491
정리/NNG,1651,827,1650
현선물/NNG,265,150,328
엇갈리/VV,2475,1382,2518
태도/NNG,1771,1144,1965
점/NNG,29294,14951,31209
감안/NNG,7554,3101,7400
단순히/MAG,516,251,552
위험관리/NNG,2136,1032,2173
차원/NNG,3232,1656,3449
찜찜/NNG,37,14,43
면/NNG,3735,1589,3535
사실/NNG,4759,2261,5458
일단/MAG,3809,1788,4108
많/VA,20960,11313,22389
외국/NNG,4361,2346,4948
아직/MAG,10161,4722,10552
신중/NNG,2902,1395,3188
그렇/VA,3167,1387,3169
강세장/NNG,881,460,989
일색/NNG,84,29,73
마지막/NNG,2684,1383,2796
백기/NNG,32,23,59
든/VV,410,198,453
그만큼/MAG,2407,1204,2694
들뜬/VV,20,12,25
상태/NNG,9242,4440,10019
글로벌/NNG,23425,13297,27790
증시/NNG,41657,20476,44484
힘들/VA,3454,1511,3505
저평가/NNG,1475,717,1531
지만/VCP,962,492,1092
추세/NNG,10077,5222,10012
곤란/NNG,419,171,405
오랫만/NNG,24,13,18
함정/NNG,206,172,352
표현/NNG,1843,813,1901
쓰/VV,3080,1718,3712
기조/NNG,12559,6960,12739
투자자금/NNG,1264,685,1396
빠지/VV,5981,3156,7053
점치/VV,2346,1131,2433
저금리/NNG,5439,3611,6800
차입/NNG,4013,1859,4185
신흥시장/NNG,3602,1734,4005
다가오/VV,1406,784,1725
트리플위칭데이/NNG,54,19,106
옵션/NNG,2005,703,1597
개별주식옵션/NNG,13,11,36
만기일/NNG,1268,533,1377
앞두/VV,11749,7141,13374
영향권/NNG,233,102,230
들어가/VV,1442,818,1649
프로그램/NNG,3896,1965,4307
매물/NNG,4487,1827,4439
상당히/MAG,3234,1510,3460
소화/NNG,1215,630,1290
상태기/NNG,16,11,25
우려/NNG,41607,21422,45653
매수/NNG,26594,14603,28451
볼/NNG,145,51,152
현대/NNG,906,467,910
실물/NNG,3359,1588,4999
심리/NNG,9790,5010,10499
선반영/NNG,1009,615,1132
사실/MAG,1260,601,1389
차익실현/NNG,2311,1472,2441
욕구/NNG,449,216,466
자극/NNG,1725,952,1847
요인/NNG,15455,8416,15979
교보/NNG,158,42,142
수급/NNG,8243,4005,8307
모멘텀/NNG,4555,2278,4343
다소/MAG,10074,5321,10496
약화/NNG,4751,2837,5267
경계/NNG,5659,3218,6050
사라지/VV,1785,901,1948
유동성/NNG,15823,6872,18746
가치주/NNG,425,219,429
더블/NNG,136,106,111
플레이션/NNG,27,43,53
실적/NNG,22938,11283,22574
안착/NNG,1119,487,999
과정/NNG,6175,3110,6741
탄력/NNG,2216,1030,2162
시험/NNG,839,354,739
대투/NNG,139,51,115
보합권/NNG,2561,1580,2863
등락/NNG,4677,2663,5029
좀/MAG,4738,2406,5070
이어지/VV,18399,10404,20244
종목/NNG,9001,3911,8747
지속/NNG,31650,17139,33069
이격/NNG,54,28,76
축소/NNG,14386,9076,16480
코스닥/NNG,6195,2934,6451
미래/NNG,3387,1765,3847
지지선/NNG,1084,444,972
찾/VV,7105,3654,7567
견제/NNG,301,185,333
나스닥/NNG,4699,2581,5041
블루칩/NNG,803,186,673
금리/NNG;약간/MAG;높/VA,7,1,8
불확실성/NNG;해소/NNG,467,250,505
가격/NNG;급등/NNG,381,129,327
실적/NNG;개선/NNG,782,429,790
전망/NNG;안정/NNG,74,39,87
위기/NNG;터지/VV,19,7,13
가격/NNG;오르/VV,660,321,631
금리/NNG;떨어/VV,432,314,674
금리/NNG;낮/VV,757,526,1129
금리/NNG;낮/VA,1028,595,1300
회사채/NNG,11849,7329,14058
후순위채/NNG,858,466,1254
품귀/NNG,115,49,146
현상/NNG,7449,3899,8475
부채/NNG,17656,11302,21304
청/NNG,448,217,412
산설/NNG,11,4,10
격세지감/NNG,19,15,19
느껴/VV,142,62,168
분위기/NNG,10925,5940,11948
힘입/VV,5093,2474,5180
카드채/NNG,199,150,355
한다는/XSV,4351,2233,4784
방침/NNG,4278,2155,4482
카드업계/NNG,305,156,257
후순위/NNG,160,95,186
전환사채/NNG,246,94,353
cb/NNG,855,376,853
bw/NNG,1125,477,902
나돌/VV,138,58,126
카드/NNG,4704,2337,4662
위기/NNG,9782,4873,12345
터지/VV,915,448,1009
원대/NNG,6712,3953,7098
채/NNG,365,225,475
못/MAG,6350,3169,6657
실정/NNG,538,219,650
선순위채/NNG,13,12,24
좀처럼/MAG,826,368,852
파악/NNG,2271,1203,2374
해초/NNG,36,11,39
체결/NNG,2582,1307,2997
쉽/VA,6097,3168,6503
됐으나/XSV,706,425,810
큰손/NNG,582,274,633
감질/NNG,0,0,1
맛/NNG,119,67,136
주문/NNG,3825,2102,4377
내/VV,8055,4615,9275
않/NNG,28,7,12
주저/NNG,388,239,457
청산/NNG,1719,620,1674
챙기/VV,337,167,419
인기/NNG,2109,1153,2210
끄/VV,253,124,284
증자/NNG,448,189,599
안정성/NNG,1699,819,1832
한층/MAG,1238,603,1361
연체율/NNG,1506,674,1368
한국신용정보/NNG,38,5,36
등급/NNG,3782,2041,3849
하향/NNG,7367,4101,8866
대상/NNG,11548,5979,12697
해제/NNG,722,331,970
안정/NNG,20445,9617,21569
부여/NNG,1599,745,1478
불확실성/NNG,10941,6874,13199
해소/NNG,5619,2601,6118
발판/NNG,284,132,303
더욱/MAG,8026,4079,8812
남/VV,5146,2801,5505
부정적/VAX,6121,3513,7292
인식/NNG,6034,3400,6481
확실히/MAG,603,337,690
제거/NNG,918,386,912
의지/NNG,2889,1637,3325
감사보고서/NNG,34,14,44
차환/NNG,1196,709,1175
예정/NNG,16863,9439,18027
실적발표/NNG,2023,1093,1931
촉각/NNG,819,478,917
곤두세우/VV,402,252,526
자본잠식/NNG,81,45,110
완전히/MAG,1864,917,1898
벗/VV,1254,608,1364
농협/NNG,2173,1006,2364
영농/NNG,115,59,121
농가/NNG,435,241,578
지원/NNG,19564,10587,23240
돈/NNG,7574,3995,9240
농업경영비/NNG,0,1,2
전문/NNG,4061,2344,4159
농업/NNG,655,334,745
축산/NNG,206,126,222
경영자금/NNG,60,36,59
두수/NNG,4,7,7
협의/NNG,2345,1178,2563
영농기/NNG,7,3,4
비농업/NNG;고용자수/NNG;증가/NNG,52,36,72
인플레이션/NNG;압력/NNG;제한/NNG,7,1,8
신규/NNG;고용자수/NNG;넘/VV,7,3,8
고용자수/NNG;급증/NNG,3,1,9
기대/NNG;살/VV,58,36,79
근모/NNG,955,217,666
개장전/NNG,1441,752,1552
선물/NNG,7329,4143,7441
비교적/VAX,2453,1139,2558
고용자수/NNG,999,627,1182
훨씬/MAG,2366,1030,2627
달하/VV,7205,3365,7629
현지/NNG,13304,7681,14946
다우존스산업평균지수/NNG,6362,3560,7148
비농업/NNG,3345,2229,3471
웃돌/VV,5471,3098,5738
넘/VV,19523,10090,20953
임금/NNG,4210,2435,4535
변하/VV,1143,573,1174
비로/NNG,140,83,120
불과/MAG,4157,1971,4536
물가/NNG,42480,20402,38728
제자리/NNG,652,291,631
걸음/NNG,569,250,537
급증/NNG,5239,2410,5130
제한/NNG,8888,5111,9693
뜻/NNG,3589,2050,4237
소비/NNG,14231,6485,14629
향상/NNG,921,416,927
얘기/NNG,3331,1714,3960
계속/NNG,6175,3220,6527
확인/NNG,11162,6048,11888
서부텍사스산원유/NNG,2770,1647,3125
인도분/NNG,1590,634,1757
배럴/NNG,6655,3632,7650
장중/NNG,9724,6285,11323
마감/NNG,19926,11104,21070
사상/NNG,10149,5146,11796
다우존스/NNG,1862,1202,2071
opec/NNG,2512,1807,3467
생산/NNG,9366,5088,9823
쿼터/NNG,120,96,139
재차/MAG,1970,1256,2203
밝힐/VV,257,132,270
증산/NNG,174,109,196
대출/NNG;이자/NNG;높/VA,6,3,7
대출/NNG;자제/NNG,29,14,37
전세/NNG;살/VV,31,15,27
가격/NNG;좋/VA,7,6,12
수입/NNG;넘/VV,7,5,7
부인/NNG,778,348,870
진모/NNG,2,4,8
씨/NNG,393,203,438
논밭/NNG,4,0,6
둘러싸/VV,2051,1283,2387
의문점/NNG,15,18,23
풀/VV,2848,1475,3847
땅/NNG,567,227,549
매입/NNG,11514,7463,14918
차모/NNG,2,2,2
해명/NNG,489,245,616
의문/NNG,1311,715,1436
덤프트럭/NNG,6,6,9
기사/NNG,1727,786,1583
매입자금/NNG,71,19,57
빌리/VV,2286,1146,2836
쓴/VV,399,187,421
상환능력/NNG,910,423,925
개입/NNG,5505,2681,5393
중개인/NNG,281,174,341
유모/NNG,12,6,19
역할/NNG,4525,2234,5140
관계/NNG,3251,1692,3438
갈수록/MAG,2002,922,1996
크/VV,16038,9557,18223
만난/VV,340,230,408
밤/NNG,1601,1113,2051
만나/NNG,155,102,198
중개업자/NNG,121,61,88
지점장/NNG,300,151,328
만나/VV,1093,659,1390
매매계약/NNG,94,39,102
대금/NNG,1272,611,1370
지급/NNG,5217,2510,5239
신청/NNG,4676,2448,5320
들어와/VV,208,121,245
통상/NNG,2266,1263,2428
계좌/NNG,2497,1315,2440
입금/NNG,465,211,452
기억/NNG,436,170,434
대리인/NNG,31,19,56
법무사/NNG,20,5,22
이루/VV,8607,4264,9052
소유권/NNG,96,43,97
서류/NNG,647,313,777
일체/NNG,56,19,45
마치/VV,12430,7748,14158
진실/NNG,153,82,180
거짓/NNG,59,37,93
배경/NNG,2734,1241,2827
궁금/NNG,240,89,281
등기부등본/NNG,23,8,30
임야/NNG,40,12,30
이모/NNG,130,50,160
등기/NNG,134,108,176
거듭/MAG,1971,961,2147
대목/NNG,1000,439,950
이자/NNG,8009,3938,8834
대/NNG,907,443,1014
줄잡/VV,5,4,3
연체/NNG,1787,774,1926
전세/NNG,2585,1276,2408
운전사/NNG,33,8,25
트럭/NNG,203,68,247
처분/NNG,955,470,983
공사현장/NNG,32,6,19
출입/NNG,139,62,115
관리/NNG,7268,3745,7794
비춰/VV,319,157,352
의문시/NNG,33,10,48
중기/NNG,2697,1429,2950
종사자/NNG,304,153,345
수입/NNG,5753,3202,5898
협회/NNG,1082,468,1045
고시/NNG,3920,2171,4358
안팎/NNG,1919,921,1977
질문/NNG,1909,915,2189
부동산/NNG,20591,9284,22275
그만/NNG,4,4,14
모았/VV,752,409,898
재산/NNG,841,449,918
문제/NNG,18934,9427,21313
사생활/NNG,34,11,32
공개/NNG,7017,4178,7642
명의/NNG,246,136,264
의혹/NNG,1530,852,2211
대해/VV,21410,11050,24045
중개/NNG,622,277,592
업체/NNG,10764,4767,10861
곳/NNG,7297,3984,8038
의뢰/NNG,278,114,257
준비/NNG,3932,2123,4574
연락/NNG,143,71,160
왔/VV,460,221,516
맺/VV,875,482,950
차익/NNG,1573,805,1735
남기/VV,863,427,886
바로/MAG,2836,1184,3261
되팔/VV,64,31,50
생각/NNG,8732,4547,9542
바꿨/VV,262,152,361
장소/NNG,198,113,240
사무실/NNG,317,180,342
장실/NNG,14,13,31
번복/NNG,66,28,60
외압/NNG,54,46,76
설/NNG,1833,932,1750
일축/NNG,412,233,468
제기/NNG,7004,3506,7476
