,hawkish,neutral,dovish
풀이/NNG,2,2,0
원달러/NNG,100,42,76
마이너스/NNG,43,17,53
상관관계/NNG,9,3,6
높/VA,770,266,713
거주자/NNG,38,35,66
외화예금/NNG,29,27,62
환율/NNG,301,210,413
변동성/NNG,155,108,259
완화/NNG,308,123,396
작용/NNG,171,80,192
평가/NNG,159,107,226
플러스/NNG,31,7,20
나타나/VV,474,207,545
금융위기/NNG,90,52,125
강화/NNG,202,115,264
외환시장/NNG,101,80,150
복원력/NNG,2,8,5
제고/NNG,39,27,64
밝히/VV,95,49,172
가계/NNG,428,336,731
부채/NNG,193,165,402
종합/NNG,158,43,182
대책/NNG,85,38,125
다주택자/NNG,1,0,0
분양시장/NNG,10,2,5
초점/NNG,7,6,11
두/VV,74,22,62
신dti/NNG,4,0,0
순차/NNG,3,1,0
시행/NNG,52,18,68
예정/NNG,25,10,27
가처분/NNG,9,4,9
소득/NNG,65,35,90
대비/NNG,531,158,583
부채비율/NNG,27,12,35
보인다는/VV,40,35,71
의견/NNG,416,212,613
시장/NNG,485,307,815
충격/NNG,103,50,87
부동산임대업/NNG,24,6,16
대출/NNG,819,394,1046
늘/VV,312,145,354
부동산/NNG,228,58,175
익스포저/NNG,14,8,15
둔화/NNG,382,92,463
주택담보대출/NNG,191,69,148
증가/NNG,1077,347,1064
여전히/MAG,127,42,130
수준/NNG,685,207,677
들/VV,215,67,202
도크/NNG,28,4,32
추정/NNG,86,25,95
아울러/MAG,133,60,161
은행/NNG,563,236,798
속도/NNG,98,57,117
관리수익/NNG,1,0,0
확보/NNG,44,19,77
스프레드/NNG,67,44,119
주장/NNG,28,14,58
제기/NNG,58,31,72
고정/NNG,23,19,42
분할/NNG,3,1,6
환/NNG,16,6,29
목표비율/NNG,4,1,1
도입/NNG,39,18,56
낮/VA,273,104,372
정상화/NNG,54,21,47
과정/NNG,66,41,128
석/NNG,7,1,12
위험관리/NNG,27,17,47
통하/VV,178,103,288
개인사업자/NNG,31,9,45
분석/NNG,124,98,239
발표/NNG,98,22,99
여신/NNG,61,33,67
심사/NNG,12,11,12
가이드라인/NNG,6,5,18
영향/NNG,567,317,829
대해서/VV,108,53,147
어떻게/MAG,28,25,27
시/NNG,61,36,94
행/NNG,11,4,13
업종별/NNG,11,4,17
한도설정/NNG,1,0,0
업황/NNG,23,4,20
고려/NNG,207,113,328
동/NNG,34,24,32
쏠림/NNG,20,13,50
투자수익률/NNG,4,3,9
상대적/VAX,71,47,94
취급/NNG,47,28,54
유인/NNG,58,51,58
업종/NNG,31,10,40
좀/MAG,47,28,66
더/MAG,233,124,296
대출비중/NNG,15,8,19
취약/NNG,52,42,91
변동/NNG,76,48,135
더불/VV,18,6,24
조짐/NNG,35,14,35
중/NNG,652,209,661
혼합/NNG,2,0,1
형/NNG,6,0,5
상당/NNG,68,35,94
비중/NNG,52,27,126
차지/NNG,16,7,26
자부담/NNG,8,3,5
서/VV,51,32,72
상환/NNG,71,29,89
위험/NNG,370,215,573
시작/NNG,26,18,28
혼합형/NNG,1,2,8
금리대/NNG,2,1,1
출/VV,23,6,24
감안/NNG,206,102,278
줄/VV,164,80,184
예상/NNG,309,105,389
각종/NNG,17,5,24
규제/NNG,106,92,150
기분/NNG,4,0,2
주택/NNG,95,45,125
잔금대출/NNG,5,0,0
신용/NNG,112,77,258
분양대금/NNG,1,1,0
잔금/NNG,1,0,0
매도/NNG,54,16,55
신규/NNG,76,20,61
임대/NNG,7,1,10
여의치/VA,2,2,2
않/VX,515,229,680
활용/NNG,35,19,62
알/VV,13,18,15
발생/NNG,127,70,199
기인/NNG,176,71,201
점검/NNG,108,72,169
필요/NNG,554,308,939
당부/NNG,72,68,85
또/MAG,191,66,253
문제/NNG,185,151,338
금융시스템/NNG,28,24,28
이어지/VV,137,40,136
제한적/VAX,32,19,36
증가율/NNG,159,35,155
축소/NNG,377,169,456
절대/NNG,5,2,3
어떠/NNG,26,12,23
관리/NNG,83,55,121
감/VV,9,2,7
안/MAG,39,5,42
비추/VV,86,34,82
로/NNG,226,63,196
거시/NNG,44,28,93
건전성/NNG,99,61,163
통화정책/NNG,490,201,565
중장기/NNG,35,18,47
하회/NNG,31,6,59
가계부/NNG,3,3,7
채/MAG,7,4,8
비율/NNG,58,21,75
판단/NNG,356,110,338
여신심사선진화/NNG,2,1,9
방/NNG,21,4,41
안/NNG,47,10,69
조치/NNG,90,26,143
미치/VV,216,120,338
시차/NNG,27,4,25
서서히/MAG,11,4,15
공급측면/NNG,13,3,11
맞추/VV,8,6,19
수요측면/NNG,17,1,19
덧붙이/VV,38,28,73
사례/NNG,34,37,77
다양/NNG,32,23,52
회사채/NNG,127,48,227
순상환/NNG,31,4,33
때/NNG,340,133,427
위축/NNG,113,38,218
북클로징/NNG,4,0,2
계절적/VAX,20,6,24
신흥국/NNG,141,138,259
부정적/VAX,63,52,103
인하/VV,170,53,235
어렵/VV,41,15,59
겪/VV,22,12,35
그렇/VA,5,2,11
해외/NNG,169,75,237
증권/NNG,98,54,130
투자/NNG,385,162,478
외/VA,38,21,47
점/NNG,586,329,902
위주/NNG,26,12,24
스왑/NNG,28,20,41
자금/NNG,445,198,634
공급/NNG,117,59,166
구조/NNG,28,23,68
외화자금/NNG,101,33,112
조달/NNG,128,50,156
운용/NNG,167,54,236
만기/NNG,96,20,89
불일치/NNG,6,1,12
문/NNG,11,5,29
외환/NNG,83,35,149
면밀히/MAG,98,51,159
모니터링/NNG,76,47,153
필/NNG,18,9,16
요가/NNG,19,12,16
선물환/NNG,38,8,23
포지션/NNG,18,12,29
한도규제/NNG,2,0,1
부담금/NNG,3,3,3
제도/NNG,38,22,80
운영/NNG,15,10,29
중개/NNG,5,2,5
외화/NNG,44,26,86
유동성/NNG,247,92,313
사정/NNG,151,34,125
히/VV,6,2,7
양호/NNG,58,25,62
재화/NNG,4,0,0
산정/NNG,3,5,4
유리/NNG,5,2,9
영업/NNG,24,9,22
예금/NNG,80,22,100
인정/NNG,1,1,4
조건/NNG,8,5,38
cd/NNG,104,23,94
금융채/NNG,3,0,1
시장성/NNG,12,2,12
수신/NNG,94,47,135
예대율/NNG,27,1,15
여유/NNG,12,3,14
이렇게/MAG,8,3,1
국고채/NNG,83,31,116
고유동성/NNG,4,3,10
자산/NNG,124,36,139
매입/NNG,33,19,87
아니/VCN,133,80,181
다시/MAG,81,35,92
차환/NNG,10,10,28
채권시장/NNG,36,38,71
미시/NNG,30,10,36
효율성/NNG,10,8,11
심도/NNG,8,6,8
연구/NNG,27,31,74
주식시장/NNG,40,21,57
과열/NNG,16,3,15
가운데/NNG,364,112,424
주가/NNG,310,91,286
투자은행/NNG,9,3,6
전망/NNG,327,104,289
일시/NNG,27,4,30
안정성/NNG,19,12,21
기업/NNG,453,163,515
실적/NNG,74,12,36
개선/NNG,356,105,359
수급/NNG,88,35,96
여건/NNG,272,105,309
호전/NNG,58,5,41
비해/VV,184,52,196
상당히/MAG,70,59,137
fed/NNG;금리/NNG;인상/NNG;보유자산/NNG;축소/NNG,0,0,1
크레딧/NNG;시장/NNG;투자심리/NNG;위축/NNG,0,0,1
경기/NNG;회복/NNG;펀더멘털/NNG;개선/NNG,0,0,1
금리/NNG;변동성/NNG;확대/NNG;우려/NNG,0,0,1
은행/NNG;가계/NNG;대출/NNG;증가/NNG,4,1,6
가계/NNG;대출/NNG;증가/NNG;둔화/NNG,0,1,4
가계/NNG;대출/NNG;규제/NNG;강화/NNG,0,0,2
대출/NNG;증가/NNG;속도/NNG;둔화/NNG,0,0,1
가계/NNG;대출/NNG;증가/NNG;축소/NNG,0,0,3
금리/NNG;인상/NNG;기대/NNG;살/VV,0,0,1
fed/NNG;대차대조표/NNG;축소/NNG,1,0,2
주택담보대출/NNG;금리/NNG;상승/NNG,1,0,5
금융시장/NNG;변동성/NNG;확대/NNG,2,5,4
대출/NNG;건전성/NNG;양호/NNG,0,0,1
임금/NNG;상승/NNG;확대/NNG,0,0,2
실물/NNG;경기/NNG;회복/NNG,3,2,2
자산/NNG;매입/NNG;축소/NNG,0,0,1
경상/NNG;수지/NNG;적자/NNG,3,0,4
건설/NNG;경기/NNG;둔화/NNG,0,0,1
cd/NNG;금리/NNG;경직/NNG,0,0,3
대미/NNG;무역/NNG;흑자/NNG,1,0,1
경상/NNG;수지/NNG;흑자/NNG,7,10,23
가계/NNG;대출/NNG;억제/NNG,1,3,7
신용스프레드/NNG;상승/NNG,0,0,1
북한리스크/NNG;증대/NNG,0,0,2
북한리스크/NNG;경계/NNG,0,0,1
정치/NNG;불확실성/NNG,1,1,2
상환능력/NNG;취약/NNG,1,1,1
긍정적/VAX;효과/NNG,5,4,7
국채/NNG;확대/NNG,1,0,1
경제/NNG;성장/NNG,2,1,3
기대/NNG;한계/NNG,0,0,1
소득/NNG;증대/NNG,0,0,1
연체율/NNG;높/VA,1,0,1
연체율/NNG;낮/VA,2,0,2
가격/NNG;오르/VV,0,0,1
기대/NNG;크/VV,3,0,2
임금/NNG,58,3,26
세제/NNG,7,5,7
개혁/NNG,1,3,7
크/VV,77,32,90
달러/NNG,393,148,365
압력/NNG,201,76,197
대상/NNG,27,15,35
대차대조표/NNG,5,4,11
기간프리미엄/NNG,5,14,35
신용스프레드/NNG,25,12,28
유의/NNG,148,81,245
상존/NNG,68,24,49
국제/NNG,452,185,634
징후/NNG,10,3,10
아직/MAG,126,33,118
감지/NNG,3,1,5
펀더멘털/NNG,10,10,22
뒷받침/NNG,16,6,14
보유자산/NNG,1,2,3
진행/NNG,31,22,61
ecb/NNG,48,32,103
조만간/MAG,10,2,10
계획/NNG,27,12,30
위험자산/NNG,5,2,16
가격/NNG,504,131,452
조정/NNG,138,45,150
재현/NNG,2,1,6
배제/NNG,30,18,41
자금흐름/NNG,67,16,75
잠재/NNG,56,30,76
불안정성/NNG,19,11,23
대체로/MAG,93,38,69
안정/NNG,374,129,422
습/NNG,7,5,12
만성/NNG,1,1,3
경상/NNG,99,55,138
수지/NNG,146,68,191
과다/NNG,14,10,28
달러부채/NNG,1,1,3
정치/NNG,11,6,17
불확실성/NNG,224,83,221
지적도/NNG,3,1,7
이/VV,168,38,148
추석/NNG,5,3,20
상여금/NNG,5,3,9
지급/NNG,14,7,18
주택시장/NNG,49,32,51
효과/NNG,173,70,308
금/NNG,38,11,39
반사/NNG,8,1,9
첨언/NNG,19,50,126
차주/NNG,18,14,38
상환능력/NNG,8,3,15
민감/NNG,15,8,22
알려져/VV,1,3,6
함/XSV,186,74,195
함께/MAG,48,36,129
포함/NNG,56,22,69
살피/VV,28,23,33
모두/MAG,93,37,91
살/VV,4,4,10
펴/VV,1,1,6
사업자/NNG,1,0,7
받/VV,82,61,130
연체/NNG,21,12,29
자수/NNG,1,0,1
많/VA,65,49,110
조사/NNG,15,6,39
언론/NNG,12,5,16
보도/NNG,14,5,12
건설/NNG,82,18,78
빠르/VA,131,61,165
악화/NNG,161,45,265
수/NNG,31,9,35
기준/NNG,235,66,169
연체율/NNG,95,24,108
소액/NNG,0,0,3
출금액/NNG,0,1,1
담보대출/NNG,13,3,10
금융기관/NNG,150,80,281
중심/NNG,258,94,314
임차인/NNG,2,0,1
영위/NNG,0,0,2
예/NNG,18,9,24
도/NNG,81,24,83
음식/NNG,1,2,3
숙박업/NNG,1,2,3
와도/VV,0,0,1
밀접/NNG,9,4,20
금융/NNG,319,142,475
경제/NNG,1074,365,1264
성장/NNG,272,79,329
북한리스크/NNG,4,2,13
증대/NNG,120,25,121
맥락/NNG,1,10,8
살펴보/VV,30,16,49
구간/NNG,0,0,9
은행채/NNG,40,15,46
오르/VV,77,30,58
가운/NNG,14,3,9
길/VA,18,10,16
영역/NNG,3,0,3
경계/NNG,48,10,50
변/NNG,6,2,6
화/NNG,19,4,22
대/VV,30,13,33
반응/NNG,15,11,22
irs/NNG,2,1,8
내재/NNG,8,9,17
서베이/NNG,7,4,9
의해서/VV,5,3,8
병행/NNG,7,0,15
실제/NNG,20,13,35
거래/NNG,164,65,246
손익/NNG,1,2,1
직결/NNG,0,1,2
주관적/VAX,0,0,1
장점/NNG,3,1,4
가지/VV,33,26,41
경직/NNG,6,2,8
산출/NNG,3,2,9
비교/NNG,34,10,39
다소/MAG,210,77,247
특성/NNG,10,7,15
교환/NNG,25,5,26
치/VV,5,0,10
점진적/VAX,20,11,23
gdp/NNG,72,28,86
성장률/NNG,93,23,129
안정화/NNG,25,11,45
접어들/VV,3,5,10
고민/NNG,9,4,8
승하/NNG,16,2,8
상업/NNG,3,1,9
수익률/NNG,26,13,34
자본/NNG,166,64,256
상가/NNG,3,0,5
상/NNG,66,17,59
국가/NNG,163,83,189
파급/NNG,30,22,76
환율보고서/NNG,0,1,7
대미/NNG,2,2,1
무역/NNG,46,23,57
흑자/NNG,140,50,158
규모/NNG,402,142,455
상되/VA,1,0,5
심층/NNG,2,4,11
대상국/NNG,0,2,8
지정/NNG,1,3,13
그만큼/MAG,6,3,5
제외/NNG,32,17,49
점차/MAG,92,30,93
가시/NNG,21,10,21
뚜렷/NNG,39,9,56
코픽스/NNG,0,0,1
연동/NNG,19,6,14
진정/NNG,38,7,36
노력/NNG,133,57,197
조성/NNG,6,4,14
비은행/NNG,31,48,88
통계/NNG,13,3,28
작성/NNG,46,11,45
하순/NNG,35,7,24
중소기업/NNG,238,54,177
억제/NNG,36,19,59
혁신성장/NNG,0,0,1
정책/NNG,332,150,465
제시/NNG,135,87,231
신용위험/NNG,53,24,103
계속/NNG,38,22,38
급격/NNG,43,18,71
갑작/MAG,0,1,4
크레딧/NNG,21,5,40
투자심리/NNG,27,6,42
연말효과/NNG,1,0,2
주춤/NNG,5,0,11
동향/NNG,96,43,112
방향/NNG,261,93,289
관하/VV,77,23,72
커뮤니케이션/NNG,15,9,30
달라지/VV,11,6,22
별다른/VA,7,1,3
cds/NNG,22,26,64
프리미엄/NNG,26,41,96
국과/NNG,6,4,13
작/VA,54,21,56
교란/NNG,7,2,10
충분히/MAG,24,13,39
휴가철/NNG,0,1,5
상당부분/NNG,30,17,33
고조/NNG,7,2,5
외국인/NNG,298,179,413
주식/NNG,121,42,135
채권투자/NNG,46,19,98
순유출/NNG,93,20,80
기조/NNG,232,66,182
다행히/MAG,4,1,3
추가/NNG,90,61,194
순매수/NNG,73,24,70
가장/MAG,35,24,42
위험요인/NNG,55,19,49
시키/XSV,64,31,89
국내외/NNG,128,39,132
경제주체/NNG,43,21,51
심리/NNG,46,10,87
시킬/XSV,43,20,41
투자자금/NNG,154,89,177
사상/NNG,47,7,39
최대/NNG,17,6,27
순유입/NNG,81,26,82
기록/NNG,133,40,160
단기간/NNG,13,8,24
유출입/NNG,62,29,115
장기간/NNG,39,10,24
바람직/NNG,92,18,75
전략/NNG,11,4,22
변경/NNG,40,16,41
순유입세/NNG,0,1,1
긍정적/VAX,40,24,54
국제/NNG;금융시장/NNG;fed/NNG;금리/NNG;인상/NNG,1,0,0
국제/NNG;원자재/NNG;가격/NNG;상승/NNG,12,3,3
fed/NNG;금리/NNG;인상/NNG;지연/NNG,1,0,1
가계/NNG;부채/NNG;문제/NNG;연착륙/NNG,1,1,2
가계/NNG;금리/NNG;변동/NNG;위험/NNG,1,0,0
신용/NNG;대출/NNG;금리/NNG;하락/NNG,2,0,0
주택담보대출/NNG;증가/NNG;둔화/NNG,4,2,2
ecb/NNG;양적완화/NNG;축소/NNG,1,0,0
인플레이션/NNG;압력/NNG;상승/NNG,1,0,1
은행/NNG;위험관리/NNG;강화/NNG,5,4,9
국제/NNG;금융시장/NNG;위험/NNG,2,1,2
근본적/VAX;경기/NNG;회복/NNG,1,0,0
유로존/NNG;경기/NNG;회복/NNG,1,0,0
대출/NNG;건전성/NNG;악화/NNG,1,0,0
대출/NNG;건전성/NNG;저하/NNG,3,0,0
지정학/NNG;위험/NNG;우려/NNG,1,0,1
소득/NNG;증가율/NNG;상회/NNG,1,0,1
금리/NNG;하락/NNG;압력/NNG,2,0,1
원화/NNG;환율/NNG;상승/NNG,3,4,4
대출/NNG;증가/NNG;확대/NNG,1,0,2
은행/NNG;영업/NNG;확대/NNG,2,0,0
가계/NNG;부채/NNG;안정/NNG,1,1,1
지정학/NNG;위험/NNG;높/VA,1,0,0
예기/NNG;않/VX;충격/NNG,1,0,0
대출/NNG;수요/NNG;늘/VV,2,0,4
주택담보대출/NNG;확대/NNG,3,1,0
순대외채권/NNG;증가/NNG,1,0,0
금융시장/NNG;낙관/NNG,1,0,0
투자심리/NNG;완화/NNG,1,0,0
금융시장/NNG;안정/NNG,5,1,8
주택담보대출/NNG;늘/VV,6,2,3
금리/NNG;제한적/VAX,1,0,0
불일치/NNG;위험/NNG,1,0,0
대출/NNG;제한적/VAX,1,0,0
부동산/NNG;과열/NNG,3,0,2
통화/NNG;강세/NNG,2,1,3
기대/NNG;약화/NNG,1,0,0
대출/NNG;축소/NNG,2,0,5
위험/NNG;해소/NNG,1,0,0
업황/NNG;부진/NNG,7,2,7
대출/NNG;선호/NNG,2,0,1
경기/NNG;확장/NNG,2,0,1
소비/NNG;제약/NNG,3,1,3
외채/NNG;증가/NNG,6,3,5
새롭/VA;위험/NNG,1,2,3
수출/NNG;늘/VV,5,0,3
높/VA;증가/NNG,9,5,8
금리정상화/NNG,41,12,15
행보/NNG,1,0,0
약세/NNG,97,43,122
원자재/NNG,137,25,109
통화/NNG,191,64,202
강세/NNG,83,49,144
근본적/VAX,10,12,23
의구심/NNG,2,8,4
비롯/NNG,43,13,36
흐름/NNG,100,34,87
유로/NNG,56,17,66
유로존/NNG,131,53,229
지연/NNG,61,20,53
반면/NNG,111,50,172
양적완화/NNG,37,90,135
정부정책/NNG,6,3,3
약화/NNG,127,48,172
당분간/MAG,86,28,86
할지/XSV,3,1,2
쉽/VA,25,15,30
예단/NNG,3,2,4
개시/NNG,2,0,2
불/NNG,12,5,12
구하/VV,10,5,6
낙관/NNG,15,7,16
유지/NNG,486,142,382
최소/NNG,15,10,16
추진/NNG,68,33,83
알려/VV,5,0,5
가격변수/NNG,18,17,29
마찰/NNG,3,2,1
예기/NNG,5,4,4
재차/MAG,11,1,8
등가격/NNG,12,4,24
변수/NNG,27,12,48
원화/NNG,112,100,181
되찾/VV,8,3,6
고정금리부/NNG,6,0,13
기울기/NNG,2,0,4
완만/NNG,66,26,82
가파르/VA,11,15,30
유도/NNG,26,20,49
저리/MAG,1,0,0
상품/NNG,32,23,69
신용시장/NNG,11,2,14
새롭/VA,18,15,27
환경변화/NNG,4,1,3
변동금리부/NNG,10,3,14
상승국면/NNG,34,4,23
적격/NNG,1,3,6
실수요자/NNG,1,0,2
주택자금/NNG,2,0,4
대처/NNG,10,3,10
선진국/NNG,115,52,154
민간/NNG,137,39,132
모기지/NNG,29,14,26
드/NNG,3,0,4
활성화/NNG,27,26,56
공/NNG,10,3,7
보증/NNG,27,10,31
왜곡/NNG,15,4,12
해소/NNG,39,22,69
원활/NNG,42,15,36
침/NNG,4,1,6
집단/NNG,49,10,44
승인/NNG,2,0,3
꾸준/NNG,16,3,7
히/NNG,28,10,25
적용/NNG,14,20,21
전세자금/NNG,5,4,12
얼마/NNG,7,4,5
지켜/VV,3,0,5
특히/MAG,105,62,172
부진/NNG,302,77,420
기관/NNG,48,34,86
개인/NNG,31,7,33
사업/NNG,10,7,19
자대/NNG,1,0,1
만일/NNG,12,14,39
저하/NNG,25,6,38
비주/NNG,2,0,4
택/NNG,3,1,4
여전/NNG,20,5,9
음/NNG,8,1,6
일시적/VAX,30,12,35
금융안정/NNG,22,12,60
용인/NNG,2,4,1
관심/NNG,23,18,47
기울일/VV,13,7,13
취지/NNG,5,9,23
방안/NNG,94,44,164
다소간/MAG,1,2,4
시일/NNG,12,1,13
소요/NNG,12,3,16
자세/NNG,4,0,5
요청/NNG,12,5,26
중도금/NNG,3,4,11
대출보증/NNG,3,0,3
강/NNG,5,8,23
화조/NNG,1,0,1
각기/MAG,3,5,2
계약/NNG,13,0,12
체결/NNG,5,2,21
실행/NNG,23,5,21
상당폭/NNG,64,17,54
외부/NNG,11,5,12
관/NNG,21,13,23
련/NNG,11,9,12
객관/NNG,4,1,3
결정/NNG,138,64,196
확고/NNG,5,2,3
형성/NNG,40,20,42
불필/NNG,1,0,0
혼선/NNG,1,0,3
피력/NNG,53,41,100
지정학/NNG,38,14,42
유출/NNG,145,67,236
현실화/NNG,20,4,21
대외/NNG,146,78,188
차입/NNG,84,29,137
긴장/NNG,7,2,2
상태/NNG,57,16,51
미사일/NNG,3,0,1
기술/NNG,3,6,8
발전/NNG,17,7,32
대립/NNG,3,1,1
관계/NNG,29,21,55
인/NNG,45,13,50
그럼에도/VA,6,0,2
풍부/NNG,51,13,42
전개/NNG,17,9,44
의/NNG,99,21,63
추이/NNG,19,25,53
예의/NNG,29,3,35
주시/NNG,35,4,44
수출/NNG,339,83,422
불안/NNG,207,90,349
경/NNG,37,10,35
우/NNG,14,13,21
링/NNG,7,5,5
비/NNG,63,20,76
질적/VAX,4,6,25
조/NNG,43,14,46
구조적/VAX,28,10,39
누증/NNG,9,2,9
취약계층/NNG,7,8,13
금융지원/NNG,5,0,5
연착륙/NNG,5,4,9
도모/NNG,9,8,21
선호/NNG,46,20,72
행태/NNG,35,16,54
나눌/VV,1,0,0
매매/NNG,46,20,62
제약/NNG,55,27,82
저금리/NNG,68,31,79
확장/NNG,28,3,17
누/NNG,1,0,0
증원/NNG,1,0,0
떠/VV,1,0,1
야기/NNG,25,6,18
지역/NNG,99,19,94
분양/NNG,20,3,8
분양권/NNG,1,2,1
매제/NNG,3,0,0
어떻/VA,3,6,6
지/NNG,37,13,37
켜/VV,1,1,2
응방/NNG,11,6,29
거시정책/NNG,18,3,16
총량/NNG,12,17,33
상회/NNG,62,19,50
소비/NNG,215,60,244
앞서/MAG,3,3,6
체로/NNG,7,1,2
외채/NNG,47,28,75
돌아/VV,21,9,29
상반/NNG,10,7,8
잔액/NNG,43,21,42
수반/NNG,8,2,9
표시/NNG,15,11,26
외화표시부채/NNG,1,0,0
갭/NNG,76,44,79
자산운용/NNG,10,3,10
순대외채권/NNG,2,2,1
불안요인/NNG,68,23,85
구별/NNG,2,0,1
소폭/MAG,265,76,244
oecd/NNG,8,2,9
내용/NNG,57,15,74
외/NNG,10,0,6
부/NNG,35,18,43
널리/MAG,1,0,0
알릴/VV,1,0,1
국제/NNG;금융시장/NNG;변동성/NNG;확대/NNG,2,3,7
가계/NNG;대출/NNG;증가율/NNG;둔화/NNG,1,0,0
가계/NNG;대출/NNG;증가/NNG;확대/NNG,3,1,2
주택담보대출/NNG;증가/NNG;확대/NNG,2,0,1
